,CH1,CH2
Second,Volt,Volt
-2.78000e-04,1.02e+00,-4.00e-02, 
-2.76000e-04,1.00e+00,-2.00e-02, 
-2.74000e-04,9.60e-01,-4.00e-02, 
-2.72000e-04,9.60e-01,-4.00e-02, 
-2.70000e-04,8.80e-01,-2.00e-02, 
-2.68000e-04,8.60e-01,-4.00e-02, 
-2.66000e-04,7.40e-01,-2.00e-02, 
-2.64000e-04,7.00e-01,-4.00e-02, 
-2.62000e-04,5.20e-01,-2.00e-02, 
-2.60000e-04,5.20e-01,-4.00e-02, 
-2.58000e-04,3.20e-01,-2.00e-02, 
-2.56000e-04,3.00e-01,-2.00e-02, 
-2.54000e-04,8.00e-02,-4.00e-02, 
-2.52000e-04,4.00e-02,-4.00e-02, 
-2.50000e-04,-1.60e-01,-2.00e-02, 
-2.48000e-04,-1.80e-01,-2.00e-02, 
-2.46000e-04,-4.00e-01,-4.00e-02, 
-2.44000e-04,-4.00e-01,-2.00e-02, 
-2.42000e-04,-6.00e-01,-4.00e-02, 
-2.40000e-04,-6.20e-01,-2.00e-02, 
-2.38000e-04,-7.60e-01,-4.00e-02, 
-2.36000e-04,-7.80e-01,-2.00e-02, 
-2.34000e-04,-8.80e-01,-4.00e-02, 
-2.32000e-04,-9.00e-01,-2.00e-02, 
-2.30000e-04,-9.60e-01,-4.00e-02, 
-2.28000e-04,-9.40e-01,-2.00e-02, 
-2.26000e-04,-9.60e-01,-4.00e-02, 
-2.24000e-04,-9.40e-01,-2.00e-02, 
-2.22000e-04,-9.00e-01,-4.00e-02, 
-2.20000e-04,-8.80e-01,-2.00e-02, 
-2.18000e-04,-7.60e-01,-4.00e-02, 
-2.16000e-04,-7.40e-01,-2.00e-02, 
-2.14000e-04,-6.00e-01,-4.00e-02, 
-2.12000e-04,-5.80e-01,-4.00e-02, 
-2.10000e-04,-4.20e-01,-2.00e-02, 
-2.08000e-04,-3.80e-01,-4.00e-02, 
-2.06000e-04,-1.60e-01,-2.00e-02, 
-2.04000e-04,-1.40e-01,-4.00e-02, 
-2.02000e-04,1.00e-01,-2.00e-02, 
-2.00000e-04,1.20e-01,-4.00e-02, 
-1.98000e-04,3.40e-01,-2.00e-02, 
-1.96000e-04,3.40e-01,-4.00e-02, 
-1.94000e-04,5.40e-01,-2.00e-02, 
-1.92000e-04,5.40e-01,-2.00e-02, 
-1.90000e-04,7.40e-01,-4.00e-02, 
-1.88000e-04,7.60e-01,-2.00e-02, 
-1.86000e-04,8.80e-01,-4.00e-02, 
-1.84000e-04,9.00e-01,-2.00e-02, 
-1.82000e-04,9.80e-01,-4.00e-02, 
-1.80000e-04,9.80e-01,-2.00e-02, 
-1.78000e-04,1.00e+00,-4.00e-02, 
-1.76000e-04,9.80e-01,-2.00e-02, 
-1.74000e-04,1.00e+00,-4.00e-02, 
-1.72000e-04,9.80e-01,-4.00e-02, 
-1.70000e-04,8.80e-01,-2.00e-02, 
-1.68000e-04,8.60e-01,-4.00e-02, 
-1.66000e-04,7.40e-01,-2.00e-02, 
-1.64000e-04,7.00e-01,-2.00e-02, 
-1.62000e-04,5.40e-01,-4.00e-02, 
-1.60000e-04,5.20e-01,-4.00e-02, 
-1.58000e-04,3.20e-01,-2.00e-02, 
-1.56000e-04,3.00e-01,-2.00e-02, 
-1.54000e-04,8.00e-02,-4.00e-02, 
-1.52000e-04,6.00e-02,-2.00e-02, 
-1.50000e-04,-1.60e-01,-4.00e-02, 
-1.48000e-04,-1.80e-01,-2.00e-02, 
-1.46000e-04,-4.00e-01,-4.00e-02, 
-1.44000e-04,-4.20e-01,-2.00e-02, 
-1.42000e-04,-6.00e-01,-4.00e-02, 
-1.40000e-04,-6.20e-01,-4.00e-02, 
-1.38000e-04,-7.60e-01,-2.00e-02, 
-1.36000e-04,-7.60e-01,-2.00e-02, 
-1.34000e-04,-8.80e-01,-2.00e-02, 
-1.32000e-04,-9.00e-01,-2.00e-02, 
-1.30000e-04,-9.60e-01,-4.00e-02, 
-1.28000e-04,-9.60e-01,-2.00e-02, 
-1.26000e-04,-9.60e-01,-4.00e-02, 
-1.24000e-04,-9.60e-01,-2.00e-02, 
-1.22000e-04,-8.80e-01,-4.00e-02, 
-1.20000e-04,-8.80e-01,-2.00e-02, 
-1.18000e-04,-7.60e-01,-4.00e-02, 
-1.16000e-04,-7.40e-01,-2.00e-02, 
-1.14000e-04,-6.00e-01,-4.00e-02, 
-1.12000e-04,-5.80e-01,-4.00e-02, 
-1.10000e-04,-3.80e-01,-2.00e-02, 
-1.08000e-04,-3.80e-01,-2.00e-02, 
-1.06000e-04,-1.60e-01,-4.00e-02, 
-1.04000e-04,-1.40e-01,-4.00e-02, 
-1.02000e-04,8.00e-02,-2.00e-02, 
-1.00000e-04,1.20e-01,-4.00e-02, 
-9.80000e-05,3.40e-01,-2.00e-02, 
-9.60000e-05,3.40e-01,-2.00e-02, 
-9.40000e-05,5.40e-01,-4.00e-02, 
-9.20000e-05,5.60e-01,-2.00e-02, 
-9.00000e-05,7.40e-01,-4.00e-02, 
-8.80000e-05,7.60e-01,-2.00e-02, 
-8.60000e-05,8.60e-01,-4.00e-02, 
-8.40000e-05,8.80e-01,-2.00e-02, 
-8.20000e-05,9.80e-01,-4.00e-02, 
-8.00000e-05,9.80e-01,-2.00e-02, 
-7.80000e-05,1.02e+00,-4.00e-02, 
-7.60000e-05,1.02e+00,-2.00e-02, 
-7.40000e-05,9.60e-01,-4.00e-02, 
-7.20000e-05,9.80e-01,-4.00e-02, 
-7.00000e-05,8.60e-01,-2.00e-02, 
-6.80000e-05,8.60e-01,-2.00e-02, 
-6.60000e-05,7.20e-01,-4.00e-02, 
-6.40000e-05,7.20e-01,-4.00e-02, 
-6.20000e-05,5.40e-01,-2.00e-02, 
-6.00000e-05,5.20e-01,-4.00e-02, 
-5.80000e-05,3.20e-01,-2.00e-02, 
-5.60000e-05,2.80e-01,-2.00e-02, 
-5.40000e-05,1.00e-01,-4.00e-02, 
-5.20000e-05,4.00e-02,-4.00e-02, 
-5.00000e-05,-1.60e-01,-2.00e-02, 
-4.80000e-05,-2.00e-01,-2.00e-02, 
-4.60000e-05,-3.80e-01,-4.00e-02, 
-4.40000e-05,-4.20e-01,-2.00e-02, 
-4.20000e-05,-6.00e-01,-4.00e-02, 
-4.00000e-05,-6.20e-01,-2.00e-02, 
-3.80000e-05,-7.60e-01,-4.00e-02, 
-3.60000e-05,-7.60e-01,-2.00e-02, 
-3.40000e-05,-8.80e-01,-4.00e-02, 
-3.20000e-05,-8.80e-01,-4.00e-02, 
-3.00000e-05,-9.60e-01,-2.00e-02, 
-2.80000e-05,-9.60e-01,-2.00e-02, 
-2.60000e-05,-9.40e-01,-4.00e-02, 
-2.40000e-05,-9.60e-01,-4.00e-02, 
-2.20000e-05,-8.80e-01,-2.00e-02, 
-2.00000e-05,-8.80e-01,-2.00e-02, 
-1.80000e-05,-7.80e-01,-4.00e-02, 
-1.60000e-05,-7.40e-01,-2.00e-02, 
-1.40000e-05,-6.00e-01,-4.00e-02, 
-1.20000e-05,-5.80e-01,-2.00e-02, 
-1.00000e-05,-4.00e-01,-4.00e-02, 
-8.00000e-06,-3.80e-01,-2.00e-02, 
-6.00000e-06,-1.60e-01,-4.00e-02, 
-4.00000e-06,-1.60e-01,-2.00e-02, 
-2.00000e-06,1.00e-01,-4.00e-02, 
0.00000e+00,1.20e-01,-2.00e-02, 
2.00000e-06,3.40e-01,-4.00e-02, 
